date,barangay,brgy,confirmed_cases,deaths,recovered,active_cases,new_cases,moveave,new_deaths,moveave_deaths,new_recovered,moveave_recovered
01apr2020,22,Malabon City,9,3,1,5,1,,1,,0,
02apr2020,22,Malabon City,9,3,1,5,0,1,0,.4285714285714285,0,.1428571428571428
03apr2020,22,Malabon City,11,4,1,6,2,1.142857142857143,1,.5714285714285714,0,.1428571428571428
04apr2020,22,Malabon City,12,4,1,7,1,1.285714285714286,0,.5714285714285714,0,.1428571428571428
05apr2020,22,Malabon City,12,4,1,7,0,1.285714285714286,0,.5714285714285714,0,.1428571428571428
06apr2020,22,Malabon City,15,4,1,10,3,1.714285714285714,0,.5714285714285714,0,.1428571428571428
07apr2020,22,Malabon City,20,5,1,14,5,1.714285714285714,1,.4285714285714285,0,0
08apr2020,22,Malabon City,21,5,1,15,1,1.714285714285714,0,.2857142857142857,0,0
09apr2020,22,Malabon City,21,5,1,15,0,1.714285714285714,0,.2857142857142857,0,0
10apr2020,22,Malabon City,21,5,1,15,0,1.428571428571429,0,.1428571428571428,0,0
11apr2020,22,Malabon City,22,5,1,16,1,1.428571428571429,0,.1428571428571428,0,0
12apr2020,22,Malabon City,22,5,1,16,0,1.428571428571429,0,.1428571428571428,0,0
13apr2020,22,Malabon City,22,5,1,16,0,1,0,.1428571428571428,0,0
14apr2020,22,Malabon City,27,6,1,20,5,1,1,.1428571428571428,0,0
15apr2020,22,Malabon City,28,6,1,21,1,1,0,.1428571428571428,0,0
16apr2020,22,Malabon City,28,6,1,21,0,1,0,.1428571428571428,0,0
17apr2020,22,Malabon City,29,6,4,19,1,1.142857142857143,0,.1428571428571428,3,.4285714285714285
18apr2020,22,Malabon City,29,6,4,19,0,1,0,.1428571428571428,0,.4285714285714285
19apr2020,22,Malabon City,29,6,4,19,0,1,0,.1428571428571428,0,.4285714285714285
20apr2020,22,Malabon City,29,6,5,18,0,1,0,.1428571428571428,1,.5714285714285714
21apr2020,22,Malabon City,31,7,5,19,2,.5714285714285714,1,.1428571428571428,0,.5714285714285714
22apr2020,22,Malabon City,31,7,5,19,0,.4285714285714285,0,.1428571428571428,0,.5714285714285714
23apr2020,22,Malabon City,31,7,5,19,0,.4285714285714285,0,.1428571428571428,0,.5714285714285714
24apr2020,22,Malabon City,32,7,6,19,1,.4285714285714285,0,.1428571428571428,1,.2857142857142857
25apr2020,22,Malabon City,34,7,6,21,2,.7142857142857143,0,.1428571428571428,0,.2857142857142857
26apr2020,22,Malabon City,40,7,6,27,6,1.571428571428571,0,.1428571428571428,0,.2857142857142857
27apr2020,22,Malabon City,45,8,6,31,5,2.285714285714286,1,.2857142857142857,0,.1428571428571428
28apr2020,22,Malabon City,46,9,10,27,1,2.142857142857143,1,.2857142857142857,4,.7142857142857143
29apr2020,22,Malabon City,51,9,12,30,5,2.857142857142857,0,.2857142857142857,2,1
30apr2020,22,Malabon City,57,9,12,36,6,3.714285714285714,0,.2857142857142857,0,1
01may2020,22,Malabon City,58,9,12,37,1,3.714285714285714,0,.2857142857142857,0,.8571428571428571
02may2020,22,Malabon City,60,9,12,39,2,3.714285714285714,0,.2857142857142857,0,.8571428571428571
03may2020,22,Malabon City,63,9,12,42,3,3.285714285714286,0,.2857142857142857,0,.8571428571428571
04may2020,22,Malabon City,63,9,12,42,0,2.571428571428572,0,.1428571428571428,0,.8571428571428571
05may2020,22,Malabon City,64,9,12,43,1,2.571428571428572,0,0,0,.2857142857142857
06may2020,22,Malabon City,67,10,17,40,3,2.285714285714286,1,.1428571428571428,5,.7142857142857143
07may2020,22,Malabon City,68,10,17,41,1,1.571428571428571,0,.1428571428571428,0,.7142857142857143
08may2020,22,Malabon City,70,10,21,39,2,1.714285714285714,0,.1428571428571428,4,1.285714285714286
09may2020,22,Malabon City,70,10,21,39,0,1.428571428571429,0,.1428571428571428,0,1.285714285714286
10may2020,22,Malabon City,70,10,23,37,0,1,0,.1428571428571428,2,1.571428571428571
11may2020,22,Malabon City,74,12,23,39,4,1.571428571428571,2,.4285714285714285,0,1.571428571428571
12may2020,22,Malabon City,78,13,23,42,4,2,1,.5714285714285714,0,1.571428571428571
13may2020,22,Malabon City,81,14,24,43,3,2,1,.5714285714285714,1,1
14may2020,22,Malabon City,82,14,26,42,1,2,0,.5714285714285714,2,1.285714285714286
15may2020,22,Malabon City,82,14,26,42,0,1.714285714285714,0,.5714285714285714,0,.7142857142857143
16may2020,22,Malabon City,86,14,28,44,4,2.285714285714286,0,.5714285714285714,2,1
17may2020,22,Malabon City,92,15,34,43,6,3.142857142857143,1,.7142857142857143,6,1.571428571428571
18may2020,22,Malabon City,94,15,35,44,2,2.857142857142857,0,.4285714285714285,1,1.714285714285714
19may2020,22,Malabon City,98,15,36,47,4,2.857142857142857,0,.2857142857142857,1,1.857142857142857
20may2020,22,Malabon City,100,15,37,48,2,2.714285714285714,0,.1428571428571428,1,1.857142857142857
21may2020,22,Malabon City,100,15,39,46,0,2.571428571428572,0,.1428571428571428,2,1.857142857142857
22may2020,22,Malabon City,111,17,42,52,11,4.142857142857143,2,.4285714285714285,3,2.285714285714286
23may2020,22,Malabon City,112,17,43,52,1,3.714285714285714,0,.4285714285714285,1,2.142857142857143
24may2020,22,Malabon City,123,17,50,56,11,4.428571428571429,0,.2857142857142857,7,2.285714285714286
25may2020,22,Malabon City,123,18,50,55,0,4.142857142857143,1,.4285714285714285,0,2.142857142857143
26may2020,22,Malabon City,131,19,54,58,8,4.714285714285714,1,.5714285714285714,4,2.571428571428572
